school,major,degree,post_grad_earnings
University of California-Santa Cruz,Computer/Information Technology Administration and Management.,Bachelor's Degree,108700.0
University of California-Santa Cruz,Computer Engineering.,Bachelor's Degree,137877.0
CET-San Jose,Electrical/Electronics Maintenance and Repair Technology.,Undergraduate Certificate or Diploma,58350.0
CET-San Jose,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",Undergraduate Certificate or Diploma,48636.0
CET-Colton,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",Undergraduate Certificate or Diploma,48636.0
City College of San Francisco,Computer Science.,Associate's Degree,75119.0
California College of ASU,Human Computer Interaction.,Associate's Degree,46551.0
Grossmont College,Security Science and Technology.,Associate's Degree,49565.0
Harvey Mudd College,Computer Science.,Bachelor's Degree,220204.0
Institute for Business and Technology,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",Undergraduate Certificate or Diploma,68881.0
Loma Linda University,Medical Illustration and Informatics.,Master's Degree,105246.0
MTI College,Computer/Information Technology Administration and Management.,Undergraduate Certificate or Diploma,47972.0
MTI College,Computer/Information Technology Administration and Management.,Associate's Degree,59576.0
National University,Computer Science.,Bachelor's Degree,84278.0
National University,Computer Science.,Master's Degree,114787.0
National University,Computer/Information Technology Administration and Management.,Bachelor's Degree,78572.0
National University,Computer/Information Technology Administration and Management.,Master's Degree,126841.0
National University,Security Science and Technology.,Master's Degree,79500.0
National University,Management Information Systems and Services.,Bachelor's Degree,95650.0
University of the Pacific,Computer Science.,Bachelor's Degree,96655.0
University of the Pacific,Computer Engineering.,Bachelor's Degree,135717.0
Pasadena City College,"Engineering Technology, General.",Associate's Degree,64323.0
San Diego State University,"Computer and Information Sciences, General.",Bachelor's Degree,87236.0
San Diego State University,Computer Science.,Bachelor's Degree,114373.0
San Francisco State University,"Computer and Information Sciences, General.",Bachelor's Degree,82648.0
San Francisco State University,Computer Science.,Bachelor's Degree,112049.0
San Francisco State University,Computer Engineering.,Bachelor's Degree,111112.0
University of San Francisco,Computer Science.,Bachelor's Degree,149331.0
San Joaquin Valley College-Visalia,Computer/Information Technology Administration and Management.,Associate's Degree,47758.0
San Joaquin Valley College-Visalia,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",Undergraduate Certificate or Diploma,67788.0
San Joaquin Valley College-Visalia,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",Associate's Degree,50235.0
San Joaquin Valley College-Bakersfield,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",Undergraduate Certificate or Diploma,67788.0
San Joaquin Valley College-Bakersfield,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",Associate's Degree,50235.0
San Jose State University,Computer Science.,Bachelor's Degree,160714.0
San Jose State University,Computer Engineering.,Bachelor's Degree,143080.0
San Jose State University,Management Information Systems and Services.,Bachelor's Degree,104129.0
Santa Clara University,Computer Engineering.,Bachelor's Degree,191635.0
Santa Clara University,Computer Engineering.,Master's Degree,196357.0
Sonoma State University,Computer Science.,Bachelor's Degree,147502.0
University of Southern California,Computer Science.,Bachelor's Degree,180906.0
University of Southern California,Computer Science.,Master's Degree,207395.0
University of Southern California,Computer Software and Media Applications.,Bachelor's Degree,165219.0
University of Southern California,Computer Engineering.,Bachelor's Degree,161292.0
UEI College-Huntington Park,Electrical/Electronics Maintenance and Repair Technology.,Undergraduate Certificate or Diploma,35361.0
Walden University,"Computer and Information Sciences, General.",Bachelor's Degree,88065.0
Walden University,"Computer and Information Sciences, General.",Master's Degree,96874.0
Walden University,Medical Illustration and Informatics.,Master's Degree,84228.0
Walden University,Management Information Systems and Services.,Master's Degree,88911.0
University of Colorado Denver/Anschutz Medical Campus,"Computer and Information Sciences, General.",Bachelor's Degree,95300.0
University of Colorado Denver/Anschutz Medical Campus,Information Science/Studies.,Master's Degree,111462.0
University of Colorado Colorado Springs,Computer Science.,Bachelor's Degree,107464.0
University of Colorado Boulder,Computer Science.,Undergraduate Certificate or Diploma,97334.0
University of Colorado Boulder,Computer Science.,Bachelor's Degree,122521.0
University of Colorado Boulder,Computer Science.,Master's Degree,140315.0
University of Colorado Boulder,Computer Engineering.,Bachelor's Degree,107650.0
Colorado School of Mines,Computer Science.,Bachelor's Degree,136319.0
Colorado State University-Fort Collins,"Computer and Information Sciences, General.",Bachelor's Degree,121497.0
Colorado State University-Fort Collins,Information Science/Studies.,Bachelor's Degree,100588.0
Colorado State University-Fort Collins,Information Science/Studies.,Master's Degree,115721.0
Colorado State University-Fort Collins,Computer Engineering.,Bachelor's Degree,112299.0
Colorado Technical University-Colorado Springs,"Computer and Information Sciences, General.",Associate's Degree,69941.0
Colorado Technical University-Colorado Springs,"Computer and Information Sciences, General.",Bachelor's Degree,75344.0
Colorado Technical University-Colorado Springs,"Computer and Information Sciences, General.",Master's Degree,87800.0
Colorado Technical University-Colorado Springs,Computer Science.,Bachelor's Degree,95265.0
